Table archaeological_layer_age
archlayer_idlocality;archlayer_name;laboratory_idlaboratory;analysis_number;age;positive_standard_deviation;negative_standard_deviation;dating_method;material_dated;date_of_analysis;comments;owner;created;mod_history
Abri I am Schulerloch;AH m;H;H-AS;51400;4500;4500;TL (thermoluminescence) dating;lithic burnt;1998;after Böhner 2008, tab. 31; Institute for archaeometry, Heidelberg; Sample AS, Inv.-Nr. 83H6-S2;Julia Lutz;01.10.2020;Julia Lutz  01.10.20;
Abri Pié Lombard;Middle Paleolithic;Gif;;73800;9600;9600;TL (thermoluminescence) dating;lithic burnt;1985;dating from mid 1980s. sample no.: PL 3 from subunit e.;Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Abri Pié Lombard;Middle Paleolithic;Gif;;67000;8100;8100;TL (thermoluminescence) dating;lithic burnt;1985;dating from mid 1980s. sample no.: PL 4 from subunit e.;Klaus Herkert;16.03.2021;Klaus Herkert  16.03.21;
Arcy-sur-Cure - Grotte du Bison;Unit D occupation;Ly;Ly-742;34050;750;750;14C (radiocarbon) dating;;;from base of unit D;andrew;04.11.2019;Klaus Herkert  04.11.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Bison;Unit E occupation;Ly;Ly-1294;38400;1600;1600;14C (radiocarbon) dating;bone;;;andrew;04.11.2019;Klaus Herkert  04.11.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Bison;Unit F occupation;Ly;Ly-1915;40200;1500;1500;14C (radiocarbon) dating;bone;;;andrew;04.11.2019;Klaus Herkert  04.11.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Bison;Unit H occupation;OxA;OxA-3460;35250;850;850;14C (radiocarbon) dating;bone;1994;;andrew;04.11.2019;Klaus Herkert  04.11.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Bison;Unit I occupation;Erl;Erl-16192;46534;1838;;14C (radiocarbon) dating;bone;2012;;andrew;04.11.2019;Klaus Herkert  04.11.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Bison;Unit I occupation;Erl;Erl-16192;43571;1354;;14C (radiocarbon) dating;bone;2012;;andrew;04.11.2019;Klaus Herkert  04.11.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Bison;Unit I occupation;OxA;OxA-3461;38800;1300;1300;14C (radiocarbon) dating;bone;1994;;andrew;04.11.2019;Klaus Herkert  04.11.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Bison;Unit J occupation;;;62000;1000;1000;ESR (electron spin resonance) dating;tooth;2014;;Klaus Herkert;04.11.2019;Klaus Herkert  04.11.19;
Arcy-sur-Cure - Grotte du Renne;Layer IX;OxA;OxA-21574;38800;1300;1300;14C (radiocarbon) dating;bone;2010;bone with cut marks;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  12.03.20;
Arcy-sur-Cure - Grotte du Renne;Layer IX;OxA;OxA-21575;32100;550;550;14C (radiocarbon) dating;bone;2010;bone with cut marks;andrew;04.12.2019;Klaus Herkert  04.12.19; andrew  12.03.20;
