assemblage.name;assemblage.category;country_continent.continent;geological_stratigraphy.correlation;geological_stratigraphy.age_min;geological_stratigraphy.age_max;locality.idlocality;locality.x;locality.y
Abri Pataud Level 2 human remains 14 (PX24);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 2 (P2);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 3 (P3);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 4 (P4);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 5 (P5);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 6 (P6);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 7 (PX17);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 8 (PX18);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 2 human remains 9 (PX19);human remains;Europe;14C (radiocarbon) dating;19130;22600;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 3 Archaeological Assemblage;feature, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;14C (radiocarbon) dating;18190;25100;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 3 fauna;paleofauna;Europe;14C (radiocarbon) dating;18190;25100;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 4 Archaeological Assemblage;feature, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;14C (radiocarbon) dating;25400;27900;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 4 fauna;paleofauna;Europe;14C (radiocarbon) dating;25400;27900;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 4 human remains 1;human remains;Europe;14C (radiocarbon) dating;25400;27900;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 4 human remains 2;human remains;Europe;14C (radiocarbon) dating;25400;27900;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 4 human remains 3;human remains;Europe;14C (radiocarbon) dating;25400;27900;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 5 Archaeological Assemblage;miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;14C (radiocarbon) dating;21000;29500;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 5 fauna;paleofauna;Europe;14C (radiocarbon) dating;21000;29500;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 5 human remains 1;human remains;Europe;14C (radiocarbon) dating;21000;29500;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 5 human remains 2;human remains;Europe;14C (radiocarbon) dating;21000;29500;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 6 Archaeological Assemblage;raw material, technology, typology;Europe;14C (radiocarbon) dating;19350;32300;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 6 fauna;paleofauna;Europe;14C (radiocarbon) dating;19350;32300;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 7 Lower Archaeological Assemblage;feature, raw material, technology, typology;Europe;14C (radiocarbon) dating;28850;33350;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 7 Upper Archaeological Assemblage;raw material, technology, typology;Europe;14C (radiocarbon) dating;28850;33350;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 7 fauna;paleofauna;Europe;14C (radiocarbon) dating;28850;33350;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 8 and Eboulis 8/9 Archaeological Assemblage;feature, raw material, technology, typology;Europe;14C (radiocarbon) dating;30900;33550;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 8 and Eboulis 8/9 Archaeological Assemblage;feature, raw material, technology, typology;Europe;geology;30900;33900;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 8 fauna;paleofauna;Europe;14C (radiocarbon) dating;30900;33550;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 9 and Eboulis 9/10 Archaeological Assemblage;raw material, technology, typology;Europe;14C (radiocarbon) dating;32900;33900;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 9 and Eboulis 9/10 Archaeological Assemblage;raw material, technology, typology;Europe;geology;32900;34150;Abri Pataud;1.012781;44.936947;
Abri Pataud Level 9 fauna;paleofauna;Europe;14C (radiocarbon) dating;32900;33900;Abri Pataud;1.012781;44.936947;
Mousterian (lithics);raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology, geomorphology, palynology, stratigraphy;60000;115000;Abri Pié Lombard;7.047115;43.700453;
Cro-Magnon 1;human remains;Europe;geology;11780;27950;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 2;human remains;Europe;geology;11780;27950;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 3;human remains;Europe;geology;11780;27950;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 4;human remains;Europe;geology;11780;27950;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 5;human remains;Europe;geology;11780;27950;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 5-1;human remains;Europe;geology;11780;27950;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 5-2;human remains;Europe;geology;11780;27950;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 5-3;human remains;Europe;geology;11780;27950;Abri de Cro-Magnon;1.009982;44.940108;
Cro-Magnon 5-4;human remains;Europe;geology;11780;27950;Abri de Cro-Magnon;1.009982;44.940108;
Abri du Facteur Unit 10 Fauna;animal remains, paleofauna;Europe;archaeological (cultural) stratigraphy;25000;35000;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 10-11 Archaeological Assemblage;feature, miscellaneous finds, organic tools, raw material, symbolic artifacts, technology, typology;Europe;archaeological (cultural) stratigraphy;25000;35000;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 15 Archaeological Assemblage;feature, raw material, symbolic artifacts, technology, typology;Europe;geology;25000;43000;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 15 Fauna;animal remains, paleofauna;Europe;geology;25000;43000;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 16 & 17 Fauna;animal remains, paleofauna;Europe;archaeological (cultural) stratigraphy;30000;43000;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 16 Archaeological Assemblage;raw material, technology, typology;Europe;archaeological (cultural) stratigraphy;30000;43000;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 17 Archaeological Assemblage;feature, miscellaneous finds, raw material, technology, typology;Europe;archaeological (cultural) stratigraphy;30000;43000;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 19 Archaeological Assemblage;feature, organic tools, raw material, technology, typology;Europe;archaeological (cultural) stratigraphy;30000;43000;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 19 Fauna;animal remains, paleofauna;Europe;archaeological (cultural) stratigraphy;30000;43000;Abri du Facteur;1.055363;44.977295;
Abri du Facteur Unit 21 Archaeological Assemblage;feature, organic tools, raw material, technology, typology;Europe;archaeological (cultural) stratigraphy;30000;43000;Abri du Facteur;1.055363;44.977295;
