assemblage.name;assemblage.category;country_continent.continent;geological_stratigraphy.correlation;geological_stratigraphy.age_min;geological_stratigraphy.age_max;locality.idlocality;locality.x;locality.y
Twin Rivers F Block 1999 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;139524;300000;Twin Rivers;28.1833333;-15.5166667;
Twin Rivers F Block JK23 Layer 1 Micromammalian Fauna;paleofauna;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;139524;300000;Twin Rivers;28.1833333;-15.5166667;
Twin Rivers F Block JK23 Layer 2 Micromammalian Fauna;paleofauna;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;139524;300000;Twin Rivers;28.1833333;-15.5166667;
Twin Rivers F Block JK23 Layer 3 Micromammalian Fauna;paleofauna;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;139524;300000;Twin Rivers;28.1833333;-15.5166667;
Twin Rivers G Block 1999 Archaeological Assemblage;raw material, technology, typology;Africa;U series (uranium-thorium) dating, archaeological (cultural) stratigraphy;139524;300000;Twin Rivers;28.1833333;-15.5166667;
Tönchesberg 1 assemblage IA;raw material, technology, typology;Europe;TL (thermoluminescence) dating;110000;141000;Tönchesberg 1;7.359886;50.368036;
Tönchesberg 1 fauna 1B;paleofauna;Europe;TL (thermoluminescence) dating;60000;72000;Tönchesberg 1;7.359886;50.368036;
Tönchesberg 1 fauna IA (lower lava loess);animal remains, paleofauna;Europe;TL (thermoluminescence) dating;110000;141000;Tönchesberg 1;7.359886;50.368036;
Tönchesberg 1 fauna IA (upper lava loess);animal remains, paleofauna;Europe;TL (thermoluminescence) dating;110000;141000;Tönchesberg 1;7.359886;50.368036;
Tönchesberg 1 layer asseblage IB;raw material, technology, typology;Europe;TL (thermoluminescence) dating;60000;72000;Tönchesberg 1;7.359886;50.368036;
Tönchesberg 2 Tö2A assemblage;raw material, technology, typology;Europe;geology, archaeological (cultural) stratigraphy;125000;132000;Tönchesberg 2;7.361494;50.368086;
Tönchesberg 2 Tö2B assemblage;plant remains, raw material, technology, typology;Europe;archaeological (cultural) stratigraphy;105000;125000;Tönchesberg 2;7.361494;50.368086;
Tönchesberg 2 Tö2B fauna;animal remains, paleofauna;Europe;archaeological (cultural) stratigraphy;105000;125000;Tönchesberg 2;7.361494;50.368086;
Tönchesberg 2 Tö2C fauna;paleofauna;Europe;geology, archaeological (cultural) stratigraphy;114000;125000;Tönchesberg 2;7.361494;50.368086;
Tönchesberg 2 Tö2D fauna;paleofauna;Europe;TL (thermoluminescence) dating;105000;123000;Tönchesberg 2;7.361494;50.368086;
Uan Afuda Unit 3b US 9 Archaeological Assemblage;raw material, technology, typology;Africa;OSL (optically stimulated thermoluminescence) dating, TL (thermoluminescence) dating;61000;100000;Uan Afuda;10.5036833;24.8694806;
Uan Tabu Layer 11 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8669;8970;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 12 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8669;8970;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 13 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8669;8970;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 14 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8380;9885;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 15 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8380;9885;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 16 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8380;9885;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 17 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8380;9885;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 18 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8380;9885;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 19 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8380;9885;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 2 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8510;8950;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 20 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8380;9885;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 21 Archaeological Assemblage;raw material, technology, typology;Africa;OSL (optically stimulated thermoluminescence) dating;51000;71000;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 22 Archaeological Assemblage;raw material, technology, typology;Africa;OSL (optically stimulated thermoluminescence) dating;51000;71000;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 23 Archaeological Assemblage;raw material, technology, typology;Africa;OSL (optically stimulated thermoluminescence) dating;51000;71000;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 24 Archaeological Assemblage;raw material, technology, typology;Africa;OSL (optically stimulated thermoluminescence) dating;51000;71000;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 25 Archaeological Assemblage;raw material, technology, typology;Africa;OSL (optically stimulated thermoluminescence) dating;51000;71000;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 3 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8510;8950;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 4 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8510;8950;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 7 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8510;8950;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 8 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8510;8950;Uan Tabu;10.528333;24.859722;
Uan Tabu Layer 9 Archaeological Assemblage;raw material, typology;Africa;14C (radiocarbon) dating;8669;8970;Uan Tabu;10.528333;24.859722;
Ubeidiya I-15;paleofauna;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya LF/I-16;paleofauna;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya Trench I layer I-26 a assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya Trench I layer I-26 a/b assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya Trench I layer I-26 b/c assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya Trench I layer I-26 b1 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya Trench I layer I-26 b1b2 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya Trench I layer I-26 b2 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya Trench I layer I-26 c assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya Trench I layer I-26 c/d assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya Trench I layer I-26 d assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya Trench I layer I-27 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya, I-26, Fauna;paleofauna;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya, I-26, malacofauna;paleofauna;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya, I-26, micromammals;paleofauna;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya, UB 335;human remains;Asia;geology;790000;1780000;Ubeidiya Trench I;35.5568833;32.6900833;
Ubeidiya Trench II Layer 21 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 22 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 23 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 23 Faunal Remains;paleofauna;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 24 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 25 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 26 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 27 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 28 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 32 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 33 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 33/34 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 34 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 35 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 36 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 37 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 38 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 39 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench II Layer 40 Archaeological Assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya human remains 1;human remains;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya human remains 2;human remains;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya human remains 3;human remains;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya human remains 4;human remains;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya human remains 5;human remains;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya human remains 6;human remains;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya human remains 7;human remains;Asia;geology;790000;1780000;Ubeidiya Trench II;35.5568833;32.6900833;
Ubeidiya Trench III Layer III-12 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench III;35.5568833;32.6900833;
Ubeidiya Trench III Layer III-25 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench III;35.5568833;32.6900833;
Ubeidiya Trench III Layer III-30 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench III;35.5568833;32.6900833;
Ubeidiya Trench III Layer III-32 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench III;35.5568833;32.6900833;
Ubeidiya Trench III Layer III-33 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench III;35.5568833;32.6900833;
Ubeidiya Trench III Layer III-34 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench III;35.5568833;32.6900833;
Ubeidiya Trench III Layer III-35 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench III;35.5568833;32.6900833;
Ubeidiya Trench III Layer III-37 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench III;35.5568833;32.6900833;
Ubeidiya Trench III Layer III-41 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench III;35.5568833;32.6900833;
Ubeidiya Trench III Layer III-44 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench III;35.5568833;32.6900833;
Ubeidiya Trench III Layer III-63 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench III;35.5568833;32.6900833;
Ubeidiya, III-12;plant remains;Asia;geology;790000;1780000;Ubeidiya Trench III;35.5568833;32.6900833;
Ubeidiya, III-19;plant remains;Asia;geology;790000;1780000;Ubeidiya Trench III;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-20 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-22 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-24 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-25 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-26 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-27 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-28 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-29 V.B. assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-29 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-30 V.B. assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-30 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-39 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-40 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-41 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-42 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-44 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-45 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-46 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-47 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-49 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-50 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-52 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-53 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-54 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ubeidiya Trench K Layer K-55 assemblage;raw material, technology, typology;Asia;geology;790000;1780000;Ubeidiya Trench K;35.5568833;32.6900833;
Ucagizli Layer B Archaeological Assemblage;animal remains, feature, function, human remains, miscellaneous finds, organic tools, paleofauna, raw material, symbolic artifacts, technology, typology;Asia;14C (radiocarbon) dating, stratigraphy;28750;35200;Ucagizli Cave I;35.959;35.983;
Ucagizli Layer B1-3 Archaeological Assemblage;animal remains, feature, function, human remains, miscellaneous finds, organic tools, paleofauna, raw material, symbolic artifacts, technology, typology;Asia;14C (radiocarbon) dating;31450;35200;Ucagizli Cave I;35.959;35.983;
Ucagizli Layer C Archaeological Assemblage;animal remains, function, human remains, miscellaneous finds, organic tools, paleofauna, raw material, technology, typology;Asia;14C (radiocarbon) dating, stratigraphy;31450;38790;Ucagizli Cave I;35.959;35.983;
Ucagizli Layer C/D Archaeological Assemblage;animal remains, function, human remains, miscellaneous finds, organic tools, paleofauna, raw material, symbolic artifacts, technology, typology;Asia;14C (radiocarbon) dating, stratigraphy;31450;38790;Ucagizli Cave I;35.959;35.983;
Ucagizli Layer D Archaeological Assemblage;animal remains, function, human remains, miscellaneous finds, paleofauna, raw material, technology, typology;Asia;stratigraphy;34000;38790;Ucagizli Cave I;35.959;35.983;
Ucagizli Layer E Archaeological Assemblage;animal remains, function, human remains, miscellaneous finds, organic tools, paleofauna, raw material, symbolic artifacts, technology, typology;Asia;14C (radiocarbon) dating, stratigraphy;35770;38790;Ucagizli Cave I;35.959;35.983;
Ucagizli Layer F Archaeological Assemblage;animal remains, function, human remains, miscellaneous finds, organic tools, paleofauna, raw material, symbolic artifacts, technology, typology;Asia;14C (radiocarbon) dating, stratigraphy;33311;40600;Ucagizli Cave I;35.959;35.983;
Ucagizli Layer Fa Archaeological Assmeblage;animal remains, function, human remains, miscellaneous finds, organic tools, paleofauna, raw material, technology, typology;Asia;14C (radiocarbon) dating, stratigraphy;33311;40600;Ucagizli Cave I;35.959;35.983;
Ucagizli Layer Fb-c Archaeological Assemblage;animal remains, function, human remains, miscellaneous finds, paleofauna, raw material, technology, typology;Asia;14C (radiocarbon) dating, stratigraphy;33311;40600;Ucagizli Cave I;35.959;35.983;
Ucagizli Layer G Archaeolgical Assemblage;animal remains, feature, function, human remains, miscellaneous finds, organic tools, paleofauna, raw material, symbolic artifacts, technology, typology;Asia;14C (radiocarbon) dating, stratigraphy;34300;40600;Ucagizli Cave I;35.959;35.983;
Ucagizli Layer H Archaeological Assemblage;animal remains, feature, function, human remains, miscellaneous finds, organic tools, paleofauna, raw material, symbolic artifacts, technology, typology;Asia;14C (radiocarbon) dating, stratigraphy;34300;42500;Ucagizli Cave I;35.959;35.983;
Ucagizli Layer H1-3 Archaeological Assemblage;animal remains, feature, function, human remains, miscellaneous finds, organic tools, paleofauna, raw material, symbolic artifacts, technology, typology;Asia;14C (radiocarbon) dating, stratigraphy;34300;42500;Ucagizli Cave I;35.959;35.983;
Ucagizli Layer I Archaeological Assemblage;animal remains, feature, function, human remains, miscellaneous finds, paleofauna, raw material, symbolic artifacts, technology, typology;Asia;14C (radiocarbon) dating, stratigraphy;36580;42500;Ucagizli Cave I;35.959;35.983;
Uluzzo C Unit A finds;technology, typology;Europe;archaeological (cultural) stratigraphy, geology;15000;21000;Uluzzo C;17.96;40.15;
Uluzzo C Unit C finds;typology;Europe;archaeological (cultural) stratigraphy, geology;40000;45000;Uluzzo C;17.96;40.15;
Uluzzo C Unit D finds;typology;Europe;archaeological (cultural) stratigraphy, geology;40000;45000;Uluzzo C;17.96;40.15;
Uluzzo C Unit E finds;technology, typology;Europe;archaeological (cultural) stratigraphy, geology;109000;119000;Uluzzo C;17.96;40.15;
Uluzzo C Unit F finds;typology;Europe;archaeological (cultural) stratigraphy, geology;109000;119000;Uluzzo C;17.96;40.15;
Uluzzo C Unit G lithics;organic tools, raw material, technology, typology;Europe;archaeological (cultural) stratigraphy, geology;109000;119000;Uluzzo C;17.96;40.15;
AH 7 assemblage;miscellaneous finds, raw material, technology, typology;Africa;OSL (optically stimulated thermoluminescence) dating;25900;32200;Umbeli belli;30.685833;-30.310556;
Umhlatuzana Layer 1 Fauna;paleofauna;Africa;geology;0;2900;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 1 Micromammalian Fauna;paleofauna;Africa;geology;0;2900;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 10 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;geology;13280;28580;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 10 Fauna;paleofauna;Africa;geology;13280;28580;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 11 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;geology;13280;28580;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 11 Fauna;paleofauna;Africa;geology;13280;28580;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 12 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;geology;13280;28580;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 12 Fauna;paleofauna;Africa;geology;13280;28580;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 13 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;geology;13280;28580;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 13 Fauna;paleofauna;Africa;geology;13280;28580;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 14 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;geology;13280;28580;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 14 Fauna;paleofauna;Africa;geology;13280;28580;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 15 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;14C (radiocarbon) dating;27020;28580;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 15 Fauna;paleofauna;Africa;14C (radiocarbon) dating;27020;28580;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 16 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;stratigraphy;27020;31900;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 16 Fauna;paleofauna;Africa;stratigraphy;27020;31900;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 17 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;14C (radiocarbon) dating;28300;31900;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 17 Fauna;paleofauna;Africa;14C (radiocarbon) dating;28300;31900;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 18 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;14C (radiocarbon) dating;34270;36230;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 18 Fauna;paleofauna;Africa;14C (radiocarbon) dating;34270;36230;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 19 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;stratigraphy;34270;44500;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 19 Fauna;paleofauna;Africa;stratigraphy;34270;44500;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 2 Fauna;paleofauna;Africa;14C (radiocarbon) dating;2780;2900;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 2 Micromammalian Fauna;paleofauna;Africa;14C (radiocarbon) dating;2780;2900;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 20 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;OSL (optically stimulated thermoluminescence) dating, 14C (radiocarbon) dating;33400;44500;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 20 Fauna;paleofauna;Africa;OSL (optically stimulated thermoluminescence) dating, 14C (radiocarbon) dating;33400;44500;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 21 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;14C (radiocarbon) dating, archaeological (cultural) stratigraphy;36240;50000;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 21 Fauna;paleofauna;Africa;14C (radiocarbon) dating, archaeological (cultural) stratigraphy;36240;50000;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 22 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;OSL (optically stimulated thermoluminescence) dating;30800;63500;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 22 Fauna;paleofauna;Africa;OSL (optically stimulated thermoluminescence) dating;30800;63500;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 23 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;14C (radiocarbon) dating;42000;48400;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 23 Fauna;paleofauna;Africa;14C (radiocarbon) dating;42000;48400;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 24 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;stratigraphy;42000;75200;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 24 Fauna;paleofauna;Africa;stratigraphy;42000;75200;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 25 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;OSL (optically stimulated thermoluminescence) dating;37100;75200;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 25 Fauna;paleofauna;Africa;OSL (optically stimulated thermoluminescence) dating;37100;75200;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 26 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, stratigraphy;37100;77000;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 26 Fauna;paleofauna;Africa;archaeological (cultural) stratigraphy, stratigraphy;37100;77000;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 27 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, stratigraphy;37100;77000;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 28 Archaeological Assemblage;miscellaneous finds, raw material, technology, typology;Africa;archaeological (cultural) stratigraphy, stratigraphy;37100;77000;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 3 Fauna;paleofauna;Africa;geology;2780;9270;Umhlatuzana;30.7542333;-29.8104;
Umhlatuzana Layer 3 Micromammalian Fauna;paleofauna;Africa;geology;2780;9270;Umhlatuzana;30.7542333;-29.8104;
