Table geological_layer_age
geolayer_idlocality;geolayer_name;laboratory_idlaboratory;analysis_number;age;positive_standard_deviation;negative_standard_deviation;dating_method;material_dated;date_of_analysis;comments;owner;created;mod_history;
Afontova Gora II;Layer 11;GrA;GrA-5554;14180;60;60;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 11;GrA;GrA-5555;12400;560;560;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 12;SOAN;SOAN-3251;15130;795;795;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 12;GrA;GrA-5553;14140;60;60;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 12;SOAN;SOAN-5125;12560;75;75;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 12;SOAN;SOAN-5124;12050;70;70;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 4;GrA;GrA-22274;13990;110;110;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 4;GIN;GIN-7542;13310;140;140;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 4;GrA;GrA-555;14200;60;60;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 4;SOAN;SOAN-3077;14330;95;95;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 4;SOAN;SOAN-5123;13600;80;80;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 4;GIN;GIN-7539;13350;60;60;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 4;GrA;GrA-22275;13390;260;260;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 9;GIN;GIN-7541;13930;80;80;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 9;GIN;GIN-7540;13650;70;70;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Afontova Gora II;Layer 9;SOAN;SOAN-3075;14070;110;110;14C (radiocarbon) dating;unknown;2007;;Abay Namen;19.01.2022;Abay Namen  19.01.22;
Ain Difla;High Terrace Upper Cave Sediments;;;102900;12900;12900;ESR (electron spin resonance) dating;tooth;2000;material_dated: tooth enamel;Matthias Göden;03.07.2014;Matthias Göden  03.07.14;
Ain Difla;High Terrace Upper Cave Sediments;;;162200;22300;22300;ESR (electron spin resonance) dating;tooth;2000;material_dated: tooth enamel;Matthias Göden;03.07.2014;Matthias Göden  03.07.14;
Ain Difla;High Terrace Upper Cave Sediments;;;105000;15000;15000;TL (thermoluminescence) dating;lithic burnt;2000;;Matthias Göden;03.07.2014;Matthias Göden  03.07.14;
Ain Hanech;Member T;;;1860000;90000;90000;biostratigraphy;;;Fauna;andrew;05.09.2011;Rebekka  05.09.2011; andrew  26.11.18; andrew  06.06.19;
