"","assemblage.name","assemblage.category","country_continent.continent","locality.idlocality","locality.x","locality.y","query_age_min","query_age_max"
"79","Abri Pataud Eboulis 6/7 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,19350,33350
"80","Abri Pataud Eboulis 7/8 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,28850,33550
"81","Abri Pataud Eboulis 8/9 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,30900,33900
"82","Abri Pataud Eboulis 9/10 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,32900,34150
"83","Abri Pataud Exc. 2005-08 Level 2 Archaeological Assemblage","organic tools, raw material, symbolic artifacts, technology, typology","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"84","Abri Pataud Level 10 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,33150,34150
"85","Abri Pataud Level 10 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,33150,34150
"86","Abri Pataud Level 11 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,31200,34700
"87","Abri Pataud Level 11 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,31200,34700
"88","Abri Pataud Level 12 Archaeological Assemblage","feature, raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,30500,34900
"89","Abri Pataud Level 12 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,30500,34900
"90","Abri Pataud Level 13 Archaeological Assemblage","raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,33650,35450
"91","Abri Pataud Level 13 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,33650,35450
"92","Abri Pataud Level 14 Archaeological Assemblage","feature, raw material, technology, typology","Europe","Abri Pataud",1.012781,44.936947,32540,36450
"93","Abri Pataud Level 14 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,32540,36450
"94","Abri Pataud Level 5 human remains 1","human remains","Europe","Abri Pataud",1.012781,44.936947,21000,29500
"95","Abri Pataud Level 2 Archaeological Assemblage","organic tools, raw material, symbolic artifacts, technology, typology","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"96","Abri Pataud Level 2 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"97","Abri Pataud Level 2 human remains 1 (P1)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"98","Abri Pataud Level 2 human remains 10 (PX20)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"99","Abri Pataud Level 5 fauna","paleofauna","Europe","Abri Pataud",1.012781,44.936947,21000,29500
"100","Abri Pataud Level 2 human remains 12 (PX22)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"101","Abri Pataud Level 2 human remains 13 (PX23)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"102","Abri Pataud Level 2 human remains 14 (PX24)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"103","Abri Pataud Level 2 human remains 2 (P2)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"104","Abri Pataud Level 2 human remains 3 (P3)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
"105","Abri Pataud Level 2 human remains 4 (P4)","human remains","Europe","Abri Pataud",1.012781,44.936947,19130,22600
